ID,lat,lon,Station,state or country,country,Years,Range,
PRC,34.65,-112.42,Prescott, Arizona , United States ,68.2,1948-1953 1958-2020 ,
LTS,34.65,-99.27,Altus, Oklahoma , United States ,61.4,1943-1944 1954-1970 1973-2000 20022003 2007-2020 ,
FSI,34.65,-98.4,Lawton , Oklahoma , United States ,67.7,1940-1941 1945-1970 1973-1998 2008-2020 ,
NCA,34.71,-77.44,New River, North Carolina , United States ,55.5,1964-2020 ,
LIT,34.73,-92.24,Little Rock, Arkansas , United States ,72.3,1949-2020 ,
DAG,34.85,-116.79,Daggett, California , United States ,65.2,1949-1981 1988-2020 ,
MLC,34.88,-95.78,McAlester, Oklahoma , United States ,48.5,1953-1954 1973-2020 ,
GSP,34.88,-82.22,Greer, South Carolina , United States ,58.1,1963-2020 ,
EDW,34.9,-117.87,Lancaster, California , United States ,56.1,1943-1973 1991-2000 2007-2020 ,
SMX,34.9,-120.45,Santa Maria, California , United States ,38.2,1955-1963 1981 1996-2020 ,
NKT,34.9,-76.88,Cherry Point, North Carolina , United States ,75,1945-2020 ,
INW,35.03,-110.72,Winslow, Arizona , United States ,70.4,1948-2020 ,
CHA,35.03,-85.2,Chattanooga, Tennessee , United States ,72.9,1948-2020 ,
ABQ,35.04,-106.62,Albuquerque, New Mexico , United States ,77.5,1942-1945 1947-2020 ,
MEM,35.06,-89.99,Memphis, Tennessee , United States ,72.9,1948-2020 ,
EWN,35.07,-77.05,New Bern, North Carolina , United States ,48.7,1948-1950 1973-2010 2014-2020 ,
FLG,35.14,-111.67,Flagstaff, Arizona , United States ,59.1,1948-1951 1962-1978 1983-2020 ,
TCC,35.18,-103.6,Tucumcari, New Mexico , United States ,55.4,1947-1982 2001-2020 ,
CLT,35.22,-80.96,Charlotte, North Carolina , United States ,75.9,1942-1944 1948-2020 ,
HSE,35.23,-75.62,Cape Hatteras, North Carolina , United States ,19.9,1995-1998 2003-2020 ,
AMA,35.23,-101.7,Amarillo, Texas , United States ,75.4,1943 1947-2020 ,
FSM,35.33,-94.36,Fort Smith, Arkansas , United States ,73.8,1947-2020 ,
